Algorithm,Run,Time (ms),R,Latitude,Longitude,ax,ay,az
Cunningham,40,13.4119,6.72092e+06,34.3597,10.4863,-7.1568,-1.32468,-4.99059
Stokes_1thread,40,13.422,6.72092e+06,34.3597,10.4863,-7.1568,-1.32472,-4.99059
Stokes_multithread,40,13.4682,6.72092e+06,34.3597,10.4863,-7.1568,-1.32472,-4.99059
Belikov,41,13.2942,6.29107e+06,75.2219,-163.76,2.45135,0.714061,-9.71107
Cunningham,41,13.2803,6.29107e+06,75.2219,-163.76,2.45135,0.71411,-9.71107
Stokes_1thread,41,13.3198,6.29107e+06,75.2219,-163.76,2.45135,0.714061,-9.71107
Stokes_multithread,41,13.3397,6.29107e+06,75.2219,-163.76,2.45135,0.714061,-9.71107
Belikov,42,13.375,6.62413e+06,74.3427,-162.617,2.32686,0.72847,-8.7255
Cunningham,42,13.374,6.62413e+06,74.3427,-162.617,2.32686,0.728504,-8.7255
Stokes_1thread,42,13.4138,6.62413e+06,74.3427,-162.617,2.32686,0.72847,-8.7255
Stokes_multithread,42,13.7001,6.62413e+06,74.3427,-162.617,2.32686,0.72847,-8.7255
Belikov,43,13.6925,6.70161e+06,-66.4558,-86.5073,-0.214849,3.522,8.12203
Cunningham,43,13.3288,6.70161e+06,-66.4558,-86.5073,-0.214849,3.52196,8.12203
Stokes_1thread,43,13.4384,6.70161e+06,-66.4558,-86.5073,-0.214849,3.522,8.12203
Stokes_multithread,43,13.5398,6.70161e+06,-66.4558,-86.5073,-0.214849,3.522,8.12203
Belikov,44,13.3583,6.31789e+06,19.3604,51.0562,-5.92609,-7.33322,-3.32381
Cunningham,44,13.4099,6.31789e+06,19.3604,51.0562,-5.92609,-7.3332,-3.32381
Stokes_1thread,44,13.5153,6.31789e+06,19.3604,51.0562,-5.92609,-7.33322,-3.32381
Stokes_multithread,44,13.614,6.31789e+06,19.3604,51.0562,-5.92609,-7.33322,-3.32381
Belikov,45,13.4466,6.94615e+06,59.8756,-37.8037,-3.26367,2.53211,-7.13849
Cunningham,45,13.1981,6.94615e+06,59.8756,-37.8037,-3.26367,2.53203,-7.13849
Stokes_1thread,45,13.4566,6.94615e+06,59.8756,-37.8037,-3.26367,2.53211,-7.13849
Stokes_multithread,45,13.5634,6.94615e+06,59.8756,-37.8037,-3.26367,2.53211,-7.13849
Belikov,46,13.3902,6.88823e+06,53.375,-77.5029,-1.08103,4.8778,-6.73985
Cunningham,46,13.355,6.88823e+06,53.375,-77.5029,-1.08103,4.87778,-6.73985
Stokes_1thread,46,13.4661,6.88823e+06,53.375,-77.5029,-1.08103,4.8778,-6.73985
Stokes_multithread,46,13.3094,6.88823e+06,53.375,-77.5029,-1.08103,4.8778,-6.73985
Belikov,47,13.4352,6.25625e+06,-19.4109,-48.0381,-6.42715,7.14735,3.39843
Cunningham,47,13.4423,6.25625e+06,-19.4109,-48.0381,-6.42715,7.14732,3.39843
Stokes_1thread,47,13.4266,6.25625e+06,-19.4109,-48.0381,-6.42715,7.14735,3.39843
Stokes_multithread,47,13.5734,6.25625e+06,-19.4109,-48.0381,-6.42715,7.14735,3.39843
Belikov,48,13.446,6.2335e+06,-36.5133,179.95,8.23395,-0.00704734,6.11685
Cunningham,48,13.424,6.2335e+06,-36.5133,179.95,8.23395,-0.00695832,6.11685
Stokes_1thread,48,13.4302,6.2335e+06,-36.5133,179.95,8.23395,-0.00704734,6.11685
Stokes_multithread,48,13.6753,6.2335e+06,-36.5133,179.95,8.23395,-0.00704734,6.11685
Belikov,49,13.4085,6.99044e+06,-15.6805,164.479,7.57371,-2.10333,2.21256
Cunningham,49,13.2909,6.99044e+06,-15.6805,164.479,7.57371,-2.10338,2.21256
Stokes_1thread,49,13.3418,6.99044e+06,-15.6805,164.479,7.57371,-2.10333,2.21256
Stokes_multithread,49,13.6047,6.99044e+06,-15.6805,164.479,7.57371,-2.10333,2.21256
Belikov,50,13.4346,6.38873e+06,-1.48449,1.56281,-9.77477,-0.266713,0.254284
Cunningham,50,13.2984,6.38873e+06,-1.48449,1.56281,-9.77477,-0.266736,0.254284
Stokes_1thread,50,13.5056,6.38873e+06,-1.48449,1.56281,-9.77477,-0.266713,0.254284
Stokes_multithread,50,13.6981,6.38873e+06,-1.48449,1.56281,-9.77477,-0.266713,0.254284
Belikov,51,13.1904,6.16932e+06,23.6378,-89.8303,-0.0284785,9.59725,-4.21527
Cunningham,51,13.4179,6.16932e+06,23.6378,-89.8303,-0.0284785,9.59731,-4.21527
Stokes_1thread,51,13.4293,6.16932e+06,23.6378,-89.8303,-0.0284785,9.59725,-4.21527
Stokes_multithread,51,13.5117,6.16932e+06,23.6378,-89.8303,-0.0284785,9.59725,-4.21527
Belikov,52,13.4618,6.56552e+06,-68.3736,-88.3383,-0.0981791,3.3892,8.57869
Cunningham,52,13.3961,6.56552e+06,-68.3736,-88.3383,-0.0981791,3.38915,8.57869
Stokes_1thread,52,13.3998,6.56552e+06,-68.3736,-88.3383,-0.0981791,3.3892,8.57869
Stokes_multithread,52,13.5393,6.56552e+06,-68.3736,-88.3383,-0.0981791,3.3892,8.57869
Belikov,53,13.3541,6.79477e+06,-16.7786,123.937,4.61848,-6.86368,2.50175
Cunningham,53,13.3698,6.79477e+06,-16.7786,123.937,4.61848,-6.86372,2.50175
Stokes_1thread,53,13.4224,6.79477e+06,-16.7786,123.937,4.61848,-6.86368,2.50175
Stokes_multithread,53,13.836,6.79477e+06,-16.7786,123.937,4.61848,-6.86368,2.50175
Belikov,54,13.1441,6.35599e+06,-11.2012,23.6459,-8.87783,-3.88727,1.92535
Cunningham,54,13.3767,6.35599e+06,-11.2012,23.6459,-8.87783,-3.88732,1.92535
Stokes_1thread,54,13.281,6.35599e+06,-11.2012,23.6459,-8.87783,-3.88727,1.92535
Stokes_multithread,54,13.4672,6.35599e+06,-11.2012,23.6459,-8.87783,-3.88727,1.92535
Belikov,55,13.5262,6.93763e+06,-88.381,90.6966,0.00297633,-0.232618,8.2556
Cunningham,55,13.505,6.93763e+06,-88.381,90.6966,0.00297633,-0.23277,8.2556
Stokes_1thread,55,13.7814,6.93763e+06,-88.381,90.6966,0.00297633,-0.232618,8.2556
Stokes_multithread,55,13.7232,6.93763e+06,-88.381,90.6966,0.00297633,-0.232618,8.2556
Belikov,56,13.9954,6.87834e+06,-25.2129,-130.757,4.97691,5.7745,3.5994
Cunningham,56,14.0238,6.87834e+06,-25.2129,-130.757,4.97691,5.77455,3.5994
Stokes_1thread,56,13.9186,6.87834e+06,-25.2129,-130.757,4.97691,5.7745,3.5994
Stokes_multithread,56,13.4086,6.87834e+06,-25.2129,-130.757,4.97691,5.7745,3.5994
Belikov,57,13.4717,6.15334e+06,76.7986,-172.197,2.36639,0.324272,-10.218
Cunningham,57,13.43,6.15334e+06,76.7986,-172.197,2.36639,0.324319,-10.218
Stokes_1thread,57,13.4289,6.15334e+06,76.7986,-172.197,2.36639,0.324272,-10.218
Stokes_multithread,57,13.4994,6.15334e+06,76.7986,-172.197,2.36639,0.324272,-10.218
Belikov,58,13.4469,6.07692e+06,-54.255,-110.396,2.18847,5.88587,8.75571
Cunningham,58,13.4141,6.07692e+06,-54.255,-110.396,2.18847,5.88584,8.75571
Stokes_1thread,58,13.3129,6.07692e+06,-54.255,-110.396,2.18847,5.88587,8.75571
Stokes_multithread,58,13.9064,6.07692e+06,-54.255,-110.396,2.18847,5.88587,8.75571
Belikov,59,13.4378,6.85476e+06,-64.9988,-26.9687,-3.18144,1.61886,7.67631
Cunningham,59,13.4343,6.85476e+06,-64.9988,-26.9687,-3.18144,1.61888,7.67631
Stokes_1thread,59,13.3649,6.85476e+06,-64.9988,-26.9687,-3.18144,1.61886,7.67631
Stokes_multithread,59,13.831,6.85476e+06,-64.9988,-26.9687,-3.18144,1.61886,7.67631
Belikov,60,13.3186,6.93068e+06,-41.778,70.4227,-2.07006,-5.82091,5.53463
Cunningham,60,13.4297,6.93068e+06,-41.778,70.4227,-2.07006,-5.82088,5.53463
